Institution,GradRate,PellGradRate,FinAidAward,FinAidAvg,PellGrantAward,PellGrantAvg,InStatePrice,OutStatePrice,Enrollment,Urbanization
Saint Cloud State University,19,38,86,5553,40,4415,20686,28920,14975,13
Salem State University,37,57,90,7096,42,4743,26224,32652,8702,21
Salisbury University,50,63,89,5509,24,4690,25062,34102,8713,23
Sam Houston State University,30,48,89,7776,44,4677,21824,31784,20938,32
San Diego State University,36,69,60,8006,24,4967,28224,40104,35135,11
San Francisco State University,22,53,81,9252,51,4927,26719,38599,29758,11
San Jose State University,14,64,74,9363,43,4813,28166,40046,35835,11
Savannah State University,11,27,97,8884,82,5054,16999,27460,4429,12
Shawnee State University,16,23,99,5092,47,4415,20910,26718,3582,31
Shepherd University,30,40,94,7832,39,4710,21031,31572,3736,31
Shippensburg University of Pennsylvania,35,44,90,6733,37,4517,28200,36300,6570,31
Slippery Rock University of Pennsylvania,50,59,93,6019,34,4377,24377,28365,8866,32
Sonoma State University,30,56,72,8399,36,4716,26034,37914,9481,21
South Carolina State University,16,31,94,9041,80,4884,29740,40120,2942,32
South Dakota School of Mines and Technology,16,47,93,4423,22,3977,24590,28770,2778,13
South Dakota State University,36,46,92,4356,25,4013,22804,26052,12516,33
Southeast Missouri State University,28,39,96,7330,38,4652,21004,26539,11486,13
Southeastern Louisiana University,17,28,94,8689,44,4649,21677,34155,14285,13
Southeastern Oklahoma State University,18,28,95,9158,50,4454,17620,26260,4006,32
Southern Arkansas University Main Campus,26,37,98,8977,54,4802,22569,26379,4643,33
Southern Connecticut State University,23,45,87,6117,42,4718,25837,38525,10202,12
Southern Illinois University-Carbondale,26,29,93,11738,45,4886,28595,42770,14554,13
Southern Illinois University-Edwardsville,26,37,94,9053,39,4963,24616,37774,13796,21
Southern Oregon University,22,32,84,5432,33,4424,26748,42091,6191,22
Southern University and A & M College,9,22,98,7459,79,5152,23377,32791,6118,12
Southern University at New Orleans,7,21,93,6726,84,3816,20539,29440,2546,11
Southern Utah University,21,42,93,7798,30,4589,20143,33755,9468,33
Southwest Minnesota State University,33,34,92,5850,37,4432,20776,20776,7154,33
Southwestern Oklahoma State University,21,29,93,7704,44,4770,19933,26833,5448,33
St. Mary's College of Maryland,72,84,94,9177,20,4120,29678,45130,1573,23
State University of New York at New Paltz,60,72,83,9634,39,5019,24230,34080,7565,21
Stephen F Austin State University,30,44,85,8881,43,4839,21276,31236,12614,33
Stockton University,57,70,89,10190,39,4731,30281,37234,9216,22
Stony Brook University,55,76,78,10162,36,5149,25471,42981,25989,21
Sul Ross State University,13,26,93,8269,64,4723,22282,34732,2946,33
SUNY at Albany,55,64,83,9743,44,4992,25682,40562,17743,13
SUNY at Fredonia,47,57,97,8211,50,4433,23597,33247,4630,32
SUNY at Purchase College,54,58,80,8679,42,4694,26352,36002,4167,21
SUNY Buffalo State,30,46,93,9069,66,4713,25208,34858,9516,11
SUNY College at Brockport,50,63,90,7946,42,4397,24126,33776,8313,31
SUNY College at Geneseo,72,72,81,7269,28,4434,25122,34740,5652,32
SUNY College at Old Westbury,23,51,86,9537,59,5042,23363,33013,4910,21
SUNY College at Oswego,50,59,96,8087,46,4756,24131,33781,8026,32
SUNY College at Plattsburgh,51,63,95,10172,47,4791,24648,34298,5719,32
SUNY College at Potsdam,39,53,96,9548,57,4879,24113,33763,3587,33
SUNY College of Agriculture and Technology at Cobleskill,42,38,94,8420,63,4202,24813,34463,2291,32
SUNY College of Environmental Science and Forestry,65,75,95,7322,25,4538,27303,36953,2213,12
SUNY Cortland,53,65,86,8218,32,4561,24879,34529,6913,32
SUNY Empire State College,18,24,94,7468,76,4638,,,10977,23
SUNY Maritime College,45,59,75,7263,16,4936,25308,34958,1794,11
SUNY Oneonta,63,67,83,8799,34,4623,24162,33812,6358,33
SUNY Polytechnic Institute,44,51,97,8264,46,4609,23838,33488,2912,22
Tarleton State University,28,41,89,8002,39,4792,20387,30131,13019,33
Temple University,49,67,90,9873,28,4564,32430,44190,39937,11
Tennessee State University,0,26,97,9394,73,4948,21276,34632,8177,11
Tennessee Technological University,29,47,98,8366,39,4512,26513,42377,10504,33
Texas A & M International University,23,46,81,9044,63,5245,17983,28251,7640,11
Texas A & M University-College Station,55,80,76,9597,23,4710,28476,53848,67929,12
Texas A & M University-Commerce,24,34,93,9620,56,5059,21651,34101,13244,32
Texas A & M University-Corpus Christi,17,30,72,8762,46,4966,21327,31502,12236,11
Texas A & M University-Kingsville,20,31,89,8293,57,4853,22825,36465,8674,32
Texas A&M University-San Antonio,,,84,7372,57,4758,25408,37596,6346,41
Texas A&M University-Texarkana,16,26,92,7738,49,4605,20254,31666,2066,41
Texas Southern University,7,20,95,8765,79,5049,25271,37721,10237,11
Texas State University,29,50,82,10209,41,4834,22625,34245,38666,23
Texas Tech University,34,51,78,7454,25,4661,23633,33425,36996,11
Texas Woman's University,22,36,93,8841,53,4829,19723,29683,15473,12
The College of New Jersey,76,81,83,10335,17,4550,34468,45897,7552,21
The Evergreen State College,42,54,89,7424,43,4483,21382,38842,3907,22
The University of Alabama,50,58,80,16693,17,4611,29424,46744,38563,13
The University of Montana,27,35,89,6057,38,4704,20476,38356,11865,13
The University of Montana-Western,21,40,89,7696,43,4241,18428,29642,1538,33
The University of Tennessee Institute for Public Service,,,,,,,,,,
The University of Tennessee-Chattanooga,26,44,96,8317,35,4748,22764,38882,11587,12
The University of Tennessee-Knoxville,49,64,94,9890,27,4818,30930,49350,28321,12
The University of Tennessee-Martin,27,40,98,9313,51,4730,20206,25966,6772,33
The University of Texas at Arlington,23,48,91,10281,44,4816,24660,39860,46497,11
The University of Texas at Austin,61,73,65,11217,22,4806,25440,51786,51525,11
The University of Texas at Dallas,54,69,77,14566,27,4775,27360,45488,27642,12
The University of Texas at El Paso,15,36,88,9068,68,5064,23210,36955,25078,11
The University of Texas at San Antonio,18,39,83,7035,45,4688,23285,34484,30768,11
The University of Texas at Tyler,26,41,82,6982,29,4722,20902,33952,10402,12
The University of Texas of the Permian Basin,23,37,91,7945,41,5031,21394,22234,7022,12
The University of Texas Rio Grande Valley,21,44,93,9277,71,5523,20035,29995,27809,13
The University of Virginia's College at Wise,25,48,86,12451,44,4735,24149,41379,2095,32
The University of West Florida,22,36,89,8025,35,4821,19014,31895,13040,13
Thomas Edison State University,,,,,,,,,11945,13
Towson University,47,72,81,8568,29,4734,26308,38754,22705,13
Troy University,21,32,94,8016,46,4719,19815,27399,17521,33
Truman State University,56,66,100,8950,26,4352,21094,27878,6272,33
United States Air Force Academy,80,,,,,,,,4276,31
United States Coast Guard Academy,81,,,,,,,,1044,13
United States Merchant Marine Academy,81,89,38,4142,16,4142,8646,8646,975,21
United States Military Academy,81,,,,,,,,4491,31
United States Naval Academy,90,,,,,,,,4495,21
University at Buffalo,60,73,83,8774,36,5076,26158,43398,30648,21
University of Akron Main Campus,19,25,95,7603,43,4471,26086,34617,20169,12
University of Alabama at Birmingham,35,48,94,9375,38,5365,26096,36800,20902,12
University of Alabama in Huntsville,22,42,94,11245,27,4424,25681,36881,9101,12
University of Alaska Anchorage,11,21,82,6473,33,4326,27098,39902,15733,11
University of Alaska Fairbanks,20,17,84,7391,31,4207,19642,32563,7664,23
University of Alaska Southeast,13,30,84,7296,30,4334,19876,32581,2342,33
University of Arizona,47,59,92,12043,28,4730,28277,51707,43751,11
University of Arkansas,47,52,77,7210,19,4462,24916,40162,27558,13
University of Arkansas at Little Rock,20,9,97,7783,55,4817,23256,35466,11624,12
University of Arkansas at Pine Bluff,11,27,98,8867,80,5076,19486,25816,2612,13
University of Arkansas-Fort Smith,19,23,93,5617,57,4758,19967,27040,6638,13
University of Baltimore,15,41,94,7380,61,4430,,,5565,11
University of California-Berkeley,74,98,60,18735,19,5036,36989,65003,41891,12
University of California-Davis,61,84,67,20415,32,4799,35729,63743,37380,23
University of California-Irvine,68,81,68,18605,38,4928,33858,61872,35242,11
University of California-Los Angeles,77,88,64,19744,29,4992,33901,61915,44027,11
University of California-Merced,38,65,94,24453,67,4980,35676,63690,7967,41
University of California-Riverside,55,75,87,20730,50,4956,34663,62677,23279,11
University of California-San Diego,62,83,63,19393,36,4940,32163,60177,35772,11
University of California-Santa Barbara,68,80,63,19678,32,4918,36111,64125,25057,22
University of California-Santa Cruz,49,72,72,17597,30,4694,36040,64054,19457,13
University of Central Arkansas,23,32,98,7519,42,4787,21854,28377,11350,13
University of Central Florida,44,70,90,8057,32,5366,22254,38353,66059,21
University of Central Missouri,29,40,94,6039,39,4426,19564,26194,12333,32
University of Central Oklahoma,13,30,83,7170,43,4642,23616,33963,15979,21
University of Cincinnati-Main Campus,34,59,83,7376,21,4489,28156,44490,37155,11
University of Colorado Boulder,47,59,64,9428,16,4583,30178,54312,35338,12
University of Colorado Colorado Springs,24,40,84,6035,31,4391,25114,36298,12932,11
University of Colorado Denver/Anschutz Medical Campus,22,43,76,7172,43,4537,,,24839,11
University of Connecticut,73,78,74,13717,19,4719,31044,53112,27578,21
University of Connecticut-Avery Point,33,56,82,9697,44,4606,,,657,22
University of Connecticut-Hartford Campus,42,67,82,10497,49,4725,,,1279,12
University of Connecticut-Stamford,37,69,76,12090,49,4888,32124,54192,1796,12
University of Connecticut-Waterbury Campus,43,62,81,10479,48,4837,,,872,22
University of Delaware,72,60,84,10210,16,4452,27792,47782,23774,21
University of Florida,68,87,93,10233,24,5630,21131,43409,52669,12
University of Florida-Online,,,88,7076,26,4851,,,2865,12
University of Georgia,65,80,97,10651,20,4878,26404,44978,37606,12
University of Hawaii at Hilo,19,36,86,6547,44,4653,23168,36128,3539,33
University of Hawaii at Manoa,32,56,82,7399,28,4674,29518,51550,17612,11
University of Hawaii-West Oahu,10,46,74,5850,42,4685,,,3082,21
University of Houston,30,56,86,9336,43,4867,24946,37306,45364,11
University of Houston-Clear Lake,,,65,10787,36,4984,23918,36470,8542,21
University of Houston-Downtown,4,21,85,8698,68,5102,,,13919,11
University of Houston-Victoria,7,18,94,8581,69,5107,19639,30584,4353,13
University of Idaho,34,56,95,7996,38,4445,21300,37624,12072,32
University of Illinois at Chicago,34,57,82,12850,61,4782,30662,43518,30539,11
University of Illinois at Springfield,35,50,97,13774,44,4661,25073,34598,4956,12
University of Illinois at Urbana-Champaign,70,81,62,14328,25,4840,30082,46202,48216,13
University of Iowa,53,64,92,7832,20,4224,22607,44251,32166,13
University of Kansas,47,50,86,9096,23,4434,25306,41074,27625,13
University of Kentucky,44,53,95,10268,26,4608,29530,45634,29465,11
University of Louisiana at Lafayette,19,32,96,9590,38,4796,24775,38503,17297,12
University of Louisiana at Monroe,23,31,97,12349,50,4851,20993,33093,9181,13
University of Louisville,32,47,97,10047,33,4578,26450,41472,21402,11
University of Maine,40,51,100,9754,32,4412,24238,43618,11240,23
University of Maine at Augusta,4,17,94,6506,63,4674,,,4014,32
University of Maine at Farmington,38,46,97,8233,54,4387,22546,32114,2080,33
University of Maine at Fort Kent,24,41,95,6211,46,4815,19375,23485,1760,43
University of Maine at Machias,14,23,100,7939,60,4721,19466,31106,701,43
University of Maine at Presque Isle,22,31,93,6555,53,4755,19549,23659,1414,41
University of Mary Washington,59,64,93,6321,20,4475,27470,42716,4808,22
University of Maryland Eastern Shore,21,35,92,7932,63,4813,23715,33721,3490,31
University of Maryland-Baltimore County,44,67,90,8789,25,4873,27538,41674,13662,21
University of Maryland-College Park,70,80,74,7965,14,4786,26491,49698,40521,21
University of Maryland-University College,5,17,53,3948,34,3706,,,59379,21
University of Massachusetts-Amherst,71,75,91,9694,22,4609,30069,48135,30340,21
University of Massachusetts-Boston,25,47,84,11175,49,4964,,,16415,11
University of Massachusetts-Dartmouth,37,50,93,8951,45,4588,29279,43993,8406,22
University of Massachusetts-Lowell,38,56,91,10720,33,4579,29918,46983,18315,21
University of Memphis,22,39,98,9884,55,5107,24660,36372,21521,11
University of Michigan-Ann Arbor,79,85,63,19323,15,4860,29526,62176,46002,12
University of Michigan-Dearborn,22,53,96,9519,43,5178,,,9330,13
University of Michigan-Flint,15,40,96,8375,49,5263,24178,34501,7836,13
University of Minnesota-Crookston,42,46,95,9990,40,4869,23866,23866,2834,32
University of Minnesota-Duluth,36,56,90,6833,24,4563,24424,29542,11168,13
University of Minnesota-Morris,52,55,99,12065,39,4734,23922,25942,1627,33
University of Minnesota-Rochester,51,62,93,9313,33,4934,25940,25940,472,12
University of Minnesota-Twin Cities,65,72,81,9521,18,4617,27469,39655,51848,11
University of Mississippi,44,48,87,11209,24,4953,24822,40086,23136,33
University of Missouri-Columbia,46,55,85,10108,21,4469,26611,43330,30844,12
University of Missouri-Kansas City,23,36,94,7104,38,4667,23529,35311,16372,11
University of Missouri-St Louis,32,45,95,12235,49,5031,24692,40607,16715,21
University of Montevallo,29,43,97,11749,40,4904,25630,38260,2717,21
University of Nebraska at Kearney,32,57,93,6589,42,4179,22586,28486,6644,32
University of Nebraska at Omaha,21,39,87,6832,41,4550,21832,34522,15731,11
University of Nebraska-Lincoln,41,59,88,8718,26,4209,25062,40182,26079,11
University of Nevada-Las Vegas,13,38,94,5531,43,4724,23451,37639,30471,12
University of Nevada-Reno,29,48,89,6548,30,4706,24209,38398,21657,12
University of New Hampshire at Manchester,44,38,95,7966,43,4062,,,758,12
University of New Hampshire-Main Campus,69,72,88,12436,24,4209,33000,47570,15363,23
University of New Mexico-Main Campus,22,43,96,6440,37,4870,22146,36736,26221,11
University of New Orleans,18,31,93,9177,51,4629,23732,28568,7964,11
University of North Alabama,21,35,94,6542,44,4624,20264,26912,7204,13
University of North Carolina at Asheville,46,60,76,8238,32,4612,19915,36638,3852,13
University of North Carolina at Chapel Hill,82,86,67,17135,21,4644,25569,51152,29911,13
University of North Carolina at Charlotte,32,55,74,7737,32,4685,23647,37081,29317,11
University of North Carolina at Greensboro,32,50,87,9561,55,4878,20659,35818,19922,11
University of North Carolina at Pembroke,21,40,93,6927,62,4984,19684,31275,6252,32
University of North Carolina School of the Arts,69,54,80,8040,24,4066,21934,37677,1014,12
University of North Carolina Wilmington,53,69,76,6079,24,4693,24613,38678,16487,12
University of North Dakota,28,42,90,4523,18,3840,21417,33017,14406,13
University of North Florida,33,55,82,8631,29,5063,21210,35614,16309,11
University of North Georgia,32,28,86,5514,33,4478,19681,28094,18782,31
University of North Texas,30,49,81,12010,39,4875,23948,33908,38276,12
University of North Texas at Dallas,19,26,92,11286,69,4939,23276,35516,3509,11
University of Northern Colorado,28,40,93,8554,34,4367,24067,35653,13399,12
University of Northern Iowa,40,59,81,4718,24,4121,21330,31872,11861,13
University of Oklahoma-Norman Campus,42,56,95,10131,23,4734,28383,43764,28527,22
University of Oregon,53,67,77,7142,24,4375,26862,49542,22887,12
University of Pittsburgh-Bradford,37,39,98,9681,44,4526,28111,39355,1336,33
University of Pittsburgh-Greensburg,24,40,94,8900,41,4556,29293,40537,1523,21
University of Pittsburgh-Johnstown,33,48,95,7309,34,4153,28689,39933,2784,23
University of Pittsburgh-Pittsburgh Campus,65,76,78,11740,15,4337,33250,44812,28642,11
University of Rhode Island,49,61,95,10838,26,4462,29485,45735,18089,21
University of Science and Arts of Oklahoma,29,30,99,9713,47,5090,18360,28710,882,32
University of South Alabama,22,34,95,7314,42,4706,20698,28210,15569,12
University of South Carolina-Aiken,20,35,95,6748,46,4737,24386,34586,3506,21
University of South Carolina-Beaufort,17,31,93,6695,44,4552,24311,35087,2077,31
University of South Carolina-Columbia,62,69,91,6642,19,4740,27062,47162,34731,12
University of South Carolina-Upstate,29,44,97,7805,55,5069,24918,36246,5990,22
University of South Dakota,40,47,95,4852,28,4124,22274,25521,10261,32
University of South Florida-Main Campus,55,72,91,9838,36,5566,21410,32324,43540,11
University of South Florida-Sarasota-Manatee,,,85,7916,40,5391,,,2117,21
University of South Florida-St Petersburg,18,34,85,8662,43,5652,21929,32843,4895,11
University of Southern Indiana,26,36,94,7377,38,4597,20205,30861,11004,22
University of Southern Maine,20,36,97,8696,45,4556,22612,34568,7794,13
University of Southern Mississippi,27,38,94,8467,49,4904,22883,24883,14478,13
University of the District of Columbia,16,19,85,8244,51,5249,,,4247,11
University of Toledo,24,34,95,8394,36,4862,25037,34375,20515,11
University of Utah,32,61,85,7816,22,4575,23673,42916,32800,12
University of Vermont,65,72,97,17149,17,4110,33274,56890,13340,13
University of Virginia-Main Campus,89,91,59,21865,13,4593,32213,62633,24360,23
University of Washington-Bothell Campus,42,63,62,13580,35,4635,26784,51348,5981,21
University of Washington-Seattle Campus,67,80,61,12756,22,4605,26595,51159,46166,11
University of Washington-Tacoma Campus,46,61,83,12254,45,4329,26310,50874,5162,12
University of West Alabama,19,29,96,7110,60,4971,21005,28619,4646,43
University of West Georgia,19,39,94,7059,53,4692,24070,34854,13520,31
University of Wisconsin-Eau Claire,37,57,80,3716,23,4144,20070,27990,10904,13
University of Wisconsin-Green Bay,31,50,86,5185,31,4365,19334,27184,7174,12
University of Wisconsin-La Crosse,42,58,79,3083,20,3942,17386,26055,10548,13
University of Wisconsin-Madison,61,83,62,8063,14,4378,25635,49885,42977,11
University of Wisconsin-Milwaukee,18,35,83,5560,37,4411,24231,35510,24988,11
University of Wisconsin-Oshkosh,19,47,82,4090,27,4250,19079,26652,13933,13
University of Wisconsin-Parkside,17,31,79,5233,39,4541,20083,28072,4277,22
University of Wisconsin-Platteville,24,47,84,3170,26,3999,18912,26762,8548,32
University of Wisconsin-River Falls,35,54,90,3207,28,4101,19888,27461,6105,32
University of Wisconsin-Stevens Point,34,55,89,4114,33,4230,18928,27195,8222,32
University of Wisconsin-Stout,27,53,84,3677,27,3982,19720,27687,9416,32
University of Wisconsin-Superior,18,31,79,4597,34,4251,19839,27412,2595,22
University of Wisconsin-Whitewater,31,50,80,4250,29,4403,17804,26377,12434,32
University of Wyoming,27,45,96,8086,20,4284,19777,31387,12397,33
Utah State University,21,65,86,8209,29,4307,19614,33264,27679,13
Utah Valley University,15,35,75,6829,31,4954,,,37282,13
Valdosta State University,19,35,90,8640,53,4736,21294,32080,11341,13
Valley City State University,27,27,99,6078,27,4033,18390,27563,1522,33
Virginia Commonwealth University,44,63,81,10203,32,4759,31172,51204,30675,12
Virginia Military Institute,64,71,94,17188,18,4439,30600,56288,1722,32
Virginia Polytechnic Institute and State University,63,77,67,8191,14,4529,26240,44024,34440,13
Virginia State University,19,36,92,5889,67,4385,22581,33427,4713,21
Washburn University,17,32,92,6986,37,4836,20468,30408,6691,12
Washington State University,35,51,90,9112,30,4587,27249,41675,30614,32
Wayne State College,26,32,96,5039,37,4168,18422,23560,3292,32
Wayne State University,18,37,94,9518,49,5141,26289,40763,27064,11
Weber State University,11,24,89,5052,37,4442,20364,29912,27949,13
West Chester University of Pennsylvania,50,66,79,6102,26,4512,26773,38253,17306,21
West Liberty University,30,44,97,5770,46,4453,22355,29995,2443,41
West Texas A & M University,28,37,86,6606,38,4503,21196,22467,10060,31
West Virginia State University,12,25,87,7361,55,4527,23228,32232,3879,22
West Virginia University,36,49,89,9370,26,4387,22472,37712,28409,13
West Virginia University Institute of Technology,21,26,94,8253,50,4126,21784,32368,1623,13
Western Carolina University,40,59,88,6380,42,4674,21452,31845,11034,32
Western Connecticut State University,25,46,82,5781,35,4627,27947,40636,5664,13
Western Illinois University,28,37,93,9816,62,4649,25835,25835,9441,33
Western Kentucky University,32,29,96,7911,42,4344,21496,36806,20257,13
Western Michigan University,23,41,89,8216,34,4721,25139,27895,22869,13
Western New Mexico University,11,19,96,8201,66,4642,22454,29927,3088,33
Western Oregon University,20,41,89,6472,43,4362,23109,39564,5336,31
Western State Colorado University,24,43,93,7517,30,4355,23672,35144,2814,33
Western Washington University,39,62,86,6127,25,4333,23555,38067,15915,13
Westfield State University,53,55,86,6352,35,4341,24076,30156,6237,21
Wichita State University,21,35,89,6055,38,4377,23758,32716,15075,11
William Paterson University of New Jersey,29,49,90,8837,57,4825,28709,35711,10252,21
Winona State University,37,59,89,5024,26,3921,21769,27692,7981,32
Winston-Salem State University,23,46,98,8650,78,5102,19827,30074,5098,12
Winthrop University,39,49,99,11495,46,4590,28188,42104,6073,13
Worcester State University,39,50,88,5303,36,4688,25730,31810,6434,12
Wright State University-Lake Campus,22,42,82,3653,36,3868,20458,28826,1037,41
Wright State University-Main Campus,20,27,89,6613,38,4494,24138,32506,15957,21
Youngstown State University,13,24,98,8371,43,4658,22447,22807,12521,13
